N1309,Bundesland,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,KPÖ,PIRAT,CPÖ,WANDL,M,EUAUS,SLP,Column
G31336,Niederösterreich,Rastenfeld,1190,941,21,920,172,398,217,33,46,28,16,1,9,,,,,,
G31337,Niederösterreich,Rohrendorf bei Krems,1585,1263,26,1237,327,390,216,28,153,51,61,6,5,,,,,,
G31338,Niederösterreich,Rossatz-Arnsdorf,897,707,13,694,196,283,82,13,56,25,29,6,4,,,,,,
G31340,Niederösterreich,St. Leonhard am Hornerwald,965,733,17,716,118,384,120,14,32,26,11,4,7,,,,,,
G31343,Niederösterreich,Senftenberg,1610,1183,29,1154,353,386,178,26,108,41,48,9,5,,,,,,
G31344,Niederösterreich,Spitz,1375,1072,26,1046,209,474,164,49,44,52,48,2,4,,,,,,
G31346,Niederösterreich,Straß im Straßertale,1254,984,19,965,201,407,144,27,87,36,49,5,9,,,,,,
G31347,Niederösterreich,Stratzing,702,537,12,525,105,243,84,9,46,15,20,3,0,,,,,,
G31350,Niederösterreich,Weinzierl am Walde,1096,833,24,809,169,434,130,17,17,20,15,7,0,,,,,,
G31351,Niederösterreich,Weißenkirchen in der Wachau,1194,952,25,927,210,401,131,20,79,36,38,4,8,,,,,,
G31355,Niederösterreich,Schönberg am Kamp,1527,1227,32,1195,219,433,226,38,127,59,75,12,6,,,,,,
G31356,Niederösterreich,Droß,778,616,13,603,120,194,112,21,74,31,42,5,4,,,,,,
G31401,Niederösterreich,Annaberg,460,336,6,330,81,172,40,9,11,8,8,1,0,,,,,,
G31402,Niederösterreich,Eschenau,1074,767,31,736,157,304,129,20,49,42,20,9,6,,,,,,
G31403,Niederösterreich,Hainfeld,2924,2140,49,2091,798,549,401,38,128,101,46,18,12,,,,,,
G31404,Niederösterreich,Hohenberg,1219,912,17,895,432,181,135,25,52,36,20,9,5,,,,,,
G31405,Niederösterreich,Kaumberg,776,580,10,570,97,229,122,25,32,39,19,6,1,,,,,,
G31406,Niederösterreich,Kleinzell,698,542,14,528,76,285,98,8,17,23,13,6,2,,,,,,
G31407,Niederösterreich,Lilienfeld,2153,1546,43,1503,427,463,274,45,160,65,32,25,12,,,,,,
G31408,Niederösterreich,Mitterbach am Erlaufsee,442,311,9,302,66,137,65,11,7,8,7,0,1,,,,,,
G31409,Niederösterreich,Ramsau,648,497,17,480,110,180,99,13,16,31,26,2,3,,,,,,
G31410,Niederösterreich,Rohrbach an der Gölsen,1332,1035,36,999,282,345,170,34,93,50,15,4,6,,,,,,
G31411,Niederösterreich,St. Aegyd am Neuwalde,1707,1235,43,1192,565,299,162,30,66,43,11,9,7,,,,,,
G31412,Niederösterreich,St. Veit an der Gölsen,3176,2486,75,2411,858,681,409,54,172,144,60,21,12,,,,,,
G31413,Niederösterreich,Traisen,2661,1939,50,1889,877,287,385,39,133,81,39,33,15,,,,,,
G31414,Niederösterreich,Türnitz,1606,1204,28,1176,324,449,220,38,52,58,27,5,3,,,,,,
G31502,Niederösterreich,Artstetten-Pöbring,964,714,23,691,143,361,93,24,35,15,16,2,2,,,,,,
G31503,Niederösterreich,Bergland,1481,1108,17,1091,220,504,192,19,64,49,28,7,8,,,,,,
G31504,Niederösterreich,Bischofstetten,958,794,16,778,230,295,125,13,57,24,30,0,4,,,,,,
G31505,Niederösterreich,Blindenmarkt,1947,1407,42,1365,281,391,373,52,104,76,58,22,8,,,,,,
G31506,Niederösterreich,Dorfstetten,473,341,4,337,107,132,70,5,11,10,2,0,0,,,,,,
G31507,Niederösterreich,Dunkelsteinerwald,1892,1475,25,1450,276,514,368,42,110,56,58,20,6,,,,,,
G31508,Niederösterreich,Erlauf,855,656,15,641,169,219,127,22,39,37,16,7,5,,,,,,
G31509,Niederösterreich,Golling an der Erlauf,1221,860,15,845,445,58,204,19,51,39,15,10,4,,,,,,
G31511,Niederösterreich,Hofamt Priel,1378,1075,29,1046,312,394,162,25,86,37,23,2,5,,,,,,
G31513,Niederösterreich,Hürm,1412,1022,21,1001,114,548,172,29,64,31,26,7,10,,,,,,
G31514,Niederösterreich,Kilb,2063,1581,52,1529,237,672,261,43,160,77,56,12,11,,,,,,
G31515,Niederösterreich,Kirnberg an der Mank,826,694,21,673,59,390,104,18,49,24,22,4,3,,,,,,
G31516,Niederösterreich,Klein-Pöchlarn,809,590,11,579,249,137,99,16,39,23,6,2,8,,,,,,
G31517,Niederösterreich,Krummnußbaum,1167,850,20,830,303,245,126,26,65,42,14,4,5,,,,,,
G31519,Niederösterreich,Leiben,1098,778,17,761,311,206,138,16,43,16,18,8,5,,,,,,
G31520,Niederösterreich,Loosdorf,3059,2165,54,2111,771,415,528,49,153,98,77,12,8,,,,,,
G31521,Niederösterreich,Mank,2509,1837,49,1788,256,797,330,49,211,75,49,8,13,,,,,,
G31522,Niederösterreich,Marbach an der Donau,1333,939,18,921,407,212,145,21,43,46,30,3,14,,,,,,
G31523,Niederösterreich,Maria Taferl,714,567,4,563,158,217,97,9,38,17,17,9,1,,,,,,
G31524,Niederösterreich,Melk,4122,2902,53,2849,632,946,548,78,376,106,128,11,24,,,,,,
G31525,Niederösterreich,Münichreith-Laimbach,1378,1031,36,995,343,349,178,17,41,37,20,3,7,,,,,,
G31527,Niederösterreich,Neumarkt an der Ybbs,1480,1068,18,1050,351,262,229,32,82,49,33,6,6,,,,,,
G31528,Niederösterreich,Nöchling,832,642,4,638,132,374,66,8,31,16,9,2,0,,,,,,
G31530,Niederösterreich,Persenbeug-Gottsdorf,1868,1310,28,1282,560,236,239,26,104,54,41,15,7,,,,,,
G31531,Niederösterreich,Petzenkirchen,1035,750,19,731,299,149,163,19,52,32,12,1,4,,,,,,
G31533,Niederösterreich,Pöchlarn,3051,1963,41,1922,640,443,423,67,180,77,71,15,6,,,,,,
G31534,Niederösterreich,Pöggstall,2078,1471,39,1432,320,614,276,28,72,71,35,5,11,,,,,,
G31535,Niederösterreich,Raxendorf,878,671,15,656,152,342,95,14,14,24,9,1,5,,,,,,
G31537,Niederösterreich,Ruprechtshofen,1832,1407,51,1356,148,593,376,27,115,43,37,8,9,,,,,,
G31539,Niederösterreich,St. Leonhard am Forst,2548,1893,52,1841,289,708,483,40,163,70,64,9,15,,,,,,
G31540,Niederösterreich,St. Martin-Karlsbach,1437,1099,27,1072,341,356,187,19,78,44,34,8,5,,,,,,
G31541,Niederösterreich,St. Oswald,884,652,20,632,143,364,62,14,18,14,7,8,2,,,,,,
G31542,Niederösterreich,Schönbühel-Aggsbach,873,644,16,628,150,199,138,26,43,29,29,4,10,,,,,,
G31543,Niederösterreich,Schollach,771,625,8,617,160,232,142,7,51,14,8,3,0,,,,,,
G31546,Niederösterreich,Weiten,889,614,17,597,123,320,79,11,20,22,11,3,8,,,,,,
G31549,Niederösterreich,Ybbs an der Donau,4332,3027,71,2956,1257,568,584,75,211,133,83,17,28,,,,,,
G31550,Niederösterreich,Zelking-Matzleinsdorf,1019,809,13,796,198,316,117,27,65,26,34,2,11,,,,,,
G31551,Niederösterreich,Texingtal,1276,1011,35,976,117,564,118,28,76,40,22,3,8,,,,,,
G31552,Niederösterreich,Yspertal,1507,1134,25,1109,351,422,182,37,51,34,24,2,6,,,,,,
G31553,Niederösterreich,Emmersdorf an der Donau,1427,1047,24,1023,277,365,158,22,101,43,38,6,13,,,,,,
G31601,Niederösterreich,Altlichtenwarth,629,445,11,434,112,193,78,6,14,18,5,5,3,,,,,,
G31603,Niederösterreich,Asparn an der Zaya,1410,1086,21,1065,301,388,196,22,68,42,34,8,6,,,,,,
G31604,Niederösterreich,Bernhardsthal,1374,1037,21,1016,366,342,189,15,37,47,14,4,2,,,,,,
G31605,Niederösterreich,Bockfließ,1057,845,25,820,244,266,142,14,70,39,25,9,11,,,,,,
G31606,Niederösterreich,Drasenhofen,885,671,17,654,102,348,110,24,13,32,20,4,1,,,,,,
G31608,Niederösterreich,Falkenstein,376,294,9,285,30,167,22,8,35,13,7,3,0,,,,,,
G31609,Niederösterreich,Fallbach,688,525,7,518,72,346,39,7,30,14,8,1,1,,,,,,
G31611,Niederösterreich,Gaubitsch,743,604,21,583,63,374,80,12,15,21,17,0,1,,,,,,
G31612,Niederösterreich,Gaweinstal,2997,2213,45,2168,617,783,440,32,127,86,63,11,9,,,,,,
G31613,Niederösterreich,Gnadendorf,938,738,14,724,133,381,105,11,41,27,22,2,2,,,,,,
G31614,Niederösterreich,Großebersdorf,1805,1388,27,1361,308,451,310,46,98,79,51,12,6,,,,,,
G31615,Niederösterreich,Großengersdorf,1147,936,22,914,333,315,163,13,54,12,16,5,3,,,,,,
G31616,Niederösterreich,Großharras,969,719,25,694,148,324,127,8,37,26,16,5,3,,,,,,
G31617,Niederösterreich,Großkrut,1320,1034,27,1007,259,402,217,19,40,39,20,6,5,,,,,,
G31620,Niederösterreich,Hausbrunn,699,560,8,552,256,136,107,6,14,15,6,9,3,,,,,,
G31621,Niederösterreich,Herrnbaumgarten,798,629,6,623,84,307,131,28,29,18,18,6,2,,,,,,
G31622,Niederösterreich,Hochleithen,931,732,9,723,210,258,133,16,36,33,31,3,3,,,,,,
G31627,Niederösterreich,Kreuttal,1189,913,24,889,253,283,143,28,78,50,37,9,8,,,,,,
G31628,Niederösterreich,Kreuzstetten,1265,929,23,906,234,277,176,17,103,55,31,4,9,,,,,,
G31629,Niederösterreich,Laa an der Thaya,5151,3781,98,3683,1114,1128,747,94,274,164,121,23,18,,,,,,
G31630,Niederösterreich,Ladendorf,1821,1371,34,1337,318,560,251,19,95,45,30,14,5,,,,,,
G31633,Niederösterreich,Mistelbach,9026,6546,167,6379,1649,2071,1146,165,650,278,321,53,46,,,,,,
G31634,Niederösterreich,Neudorf bei Staatz,1139,861,29,832,249,296,168,16,34,36,25,5,3,,,,,,
G31636,Niederösterreich,Niederleis,725,536,14,522,173,169,93,9,40,24,10,4,0,,,,,,
G31642,Niederösterreich,Pillichsdorf,922,742,19,723,165,277,98,23,84,27,31,10,8,,,,,,
G31644,Niederösterreich,Poysdorf,4434,3335,79,3256,694,1442,604,78,153,151,94,19,21,,,,,,
G31645,Niederösterreich,Rabensburg,925,639,20,619,300,66,164,15,12,39,12,4,7,,,,,,
G31646,Niederösterreich,Schrattenberg,683,519,22,497,89,269,78,18,10,21,7,1,4,,,,,,
G31649,Niederösterreich,Staatz,1676,1255,34,1221,354,477,218,21,61,51,24,10,5,,,,,,
G31650,Niederösterreich,Stronsdorf,1383,1105,26,1079,154,554,229,18,41,41,31,2,9,,,,,,
G31651,Niederösterreich,Ulrichskirchen-Schleinbach,2070,1600,38,1562,455,424,299,51,180,68,63,11,11,,,,,,
G31652,Niederösterreich,Unterstinkenbrunn,473,344,6,338,54,183,50,10,16,14,5,2,4,,,,,,
G31653,Niederösterreich,Wildendürnbach,1294,1001,23,978,149,522,174,20,37,45,24,3,4,,,,,,
G31654,Niederösterreich,Wilfersdorf,1726,1325,35,1290,393,440,261,24,71,42,46,5,8,,,,,,
G31655,Niederösterreich,Wolkersdorf im Weinviertel,5369,4123,75,4048,872,1325,650,101,676,142,209,38,35,,,,,,
G31658,Niederösterreich,Ottenthal,505,405,8,397,50,234,69,12,12,8,6,5,1,,,,,,
G31701,Niederösterreich,Achau,974,729,15,714,233,141,137,26,88,31,46,6,6,,,,,,
G31702,Niederösterreich,Biedermannsdorf,2259,1627,38,1589,349,438,255,70,234,88,128,11,16,,,,,,
G31703,Niederösterreich,Breitenfurt bei Wien,4678,3473,56,3417,780,864,573,131,485,197,320,39,28,,,,,,
G31704,Niederösterreich,Brunn am Gebirge,8504,6083,100,5983,1612,1338,1071,163,887,241,558,66,47,,,,,,
G31706,Niederösterreich,Gaaden,1245,924,15,909,177,251,150,49,133,44,93,6,6,,,,,,
G31707,Niederösterreich,Gießhübl,1621,1174,10,1164,206,372,120,50,196,52,155,2,11,,,,,,
G31709,Niederösterreich,Gumpoldskirchen,2848,2084,30,2054,464,558,292,69,367,89,187,13,15,,,,,,
G31710,Niederösterreich,Guntramsdorf,6861,5081,87,4994,1620,854,1084,136,611,282,322,41,44,,,,,,
G31711,Niederösterreich,Hennersdorf,1177,909,13,896,301,203,154,20,88,67,46,14,3,,,,,,
G31712,Niederösterreich,Hinterbrühl,2989,2102,24,2078,317,827,216,52,312,100,226,12,16,,,,,,
G31713,Niederösterreich,Kaltenleutgeben,2555,1892,30,1862,575,342,404,58,206,69,184,15,9,,,,,,
G31714,Niederösterreich,Laab im Walde,922,676,6,670,140,207,70,13,141,18,59,12,10,,,,,,
G31715,Niederösterreich,Laxenburg,2188,1488,27,1461,318,442,209,61,204,72,130,8,17,,,,,,
G31716,Niederösterreich,Maria Enzersdorf,6583,4471,63,4408,628,1452,589,149,810,192,521,32,35,,,,,,
G31717,Niederösterreich,Mödling,15175,10061,170,9891,2057,2635,1469,282,1783,455,1008,119,83,,,,,,
G31718,Niederösterreich,Münchendorf,2142,1590,24,1566,476,300,368,60,163,70,102,12,15,,,,,,
G31719,Niederösterreich,Perchtoldsdorf,11587,8121,148,7973,1440,2430,1140,240,1209,366,1008,67,73,,,,,,
G31723,Niederösterreich,Vösendorf,4912,3238,42,3196,1053,465,818,97,322,189,191,28,33,,,,,,
G31725,Niederösterreich,Wiener Neudorf,6977,4846,81,4765,1564,837,979,154,566,257,313,56,39,,,,,,
G31726,Niederösterreich,Wienerwald,2017,1525,21,1504,319,487,254,61,161,83,107,17,15,,,,,,
G31801,Niederösterreich,Altendorf,259,200,5,195,20,109,39,6,10,5,1,5,0,,,,,,
G31802,Niederösterreich,Aspang-Markt,1570,1169,23,1146,339,422,208,36,57,45,32,2,5,,,,,,
G31803,Niederösterreich,Aspangberg-St. Peter,1582,1149,27,1122,242,502,223,35,42,45,28,3,2,,,,,,
G31804,Niederösterreich,Breitenau,1174,931,17,914,381,183,197,27,45,41,33,5,2,,,,,,
G31805,Niederösterreich,Breitenstein,280,184,7,177,56,52,35,4,6,19,2,1,2,,,,,,
G31806,Niederösterreich,Buchbach,296,226,1,225,89,67,26,5,15,12,7,1,3,,,,,,
G31807,Niederösterreich,Edlitz,762,564,15,549,128,219,96,19,36,27,20,2,2,,,,,,
G31808,Niederösterreich,Enzenreith,1574,1142,13,1129,395,242,259,27,100,51,40,8,7,,,,,,
G31809,Niederösterreich,Feistritz am Wechsel,885,712,12,700,129,308,153,21,43,25,14,2,5,,,,,,
G31810,Niederösterreich,Gloggnitz,4736,3198,73,3125,1117,601,774,92,241,148,109,25,18,,,,,,
G31811,Niederösterreich,Grafenbach-St. Valentin,1783,1377,36,1341,515,278,313,37,80,54,46,10,8,,,,,,
G31812,Niederösterreich,Grimmenstein,1123,825,23,802,234,311,126,22,43,38,16,5,7,,,,,,
G31813,Niederösterreich,Grünbach am Schneeberg,1291,943,15,928,370,170,197,28,62,54,28,13,6,,,,,,
G31814,Niederösterreich,Kirchberg am Wechsel,1911,1474,21,1453,212,696,308,37,83,68,33,6,10,,,,,,
G31815,Niederösterreich,Mönichkirchen,530,372,8,364,78,162,69,10,12,20,6,2,5,,,,,,
G31817,Niederösterreich,Natschbach-Loipersbach,1399,1064,22,1042,256,368,201,41,88,46,33,5,4,,,,,,
G31818,Niederösterreich,Neunkirchen,9027,5923,92,5831,2197,1159,1272,119,523,275,199,46,41,,,,,,
G31820,Niederösterreich,Otterthal,464,370,5,365,111,122,72,11,19,23,6,1,0,,,,,,
G31821,Niederösterreich,Payerbach,1798,1282,23,1259,451,253,271,44,108,61,54,10,7,,,,,,
G31823,Niederösterreich,Pitten,2075,1465,30,1435,451,347,291,30,111,95,80,11,19,,,,,,
G31825,Niederösterreich,Prigglitz,389,298,3,295,69,111,64,10,17,14,10,0,0,,,,,,
G31826,Niederösterreich,Puchberg am Schneeberg,2227,1634,33,1601,564,449,285,44,87,99,49,10,14,,,,,,
G31827,Niederösterreich,Raach am Hochgebirge,239,183,5,178,26,112,18,4,5,5,6,1,1,,,,,,
G31829,Niederösterreich,Reichenau an der Rax,2119,1565,36,1529,472,374,336,53,116,101,53,11,13,,,,,,
G31830,Niederösterreich,St. Corona am Wechsel,307,222,5,217,13,127,53,2,11,7,4,0,0,,,,,,
G31831,Niederösterreich,St. Egyden am Steinfeld,1541,1112,17,1095,311,288,259,32,70,69,48,8,10,,,,,,
G31832,Niederösterreich,Scheiblingkirchen-Thernberg,1551,1188,24,1164,240,515,199,30,79,48,39,5,9,,,,,,
G31833,Niederösterreich,Schottwien,540,394,9,385,91,119,103,12,20,19,11,7,3,,,,,,
G31834,Niederösterreich,Schrattenbach,296,235,8,227,48,84,39,8,17,19,11,1,0,,,,,,
G31835,Niederösterreich,Schwarzau am Steinfeld,1454,1083,19,1064,416,225,228,30,65,42,39,5,14,,,,,,
G31836,Niederösterreich,Schwarzau im Gebirge,539,410,13,397,174,92,67,10,18,22,9,4,1,,,,,,
G31837,Niederösterreich,Seebenstein,1123,834,20,814,277,177,193,21,61,39,35,6,5,,,,,,
G31838,Niederösterreich,Semmering,468,279,5,274,74,86,67,6,15,14,8,1,3,,,,,,
G31839,Niederösterreich,Ternitz,11681,8396,173,8223,3721,1042,1959,193,596,369,222,67,54,,,,,,
G31840,Niederösterreich,Thomasberg,1022,800,29,771,183,314,162,14,31,41,20,4,2,,,,,,
G31841,Niederösterreich,Trattenbach,450,345,6,339,57,169,79,8,15,7,2,1,1,,,,,,
G31842,Niederösterreich,Bürg-Vöstenhof,142,123,7,116,27,42,24,4,8,8,3,0,0,,,,,,
G31843,Niederösterreich,Warth,1285,1020,34,986,218,454,157,25,68,29,31,2,2,,,,,,
G31844,Niederösterreich,Wartmannstetten,1344,1097,20,1077,241,444,169,36,73,54,49,3,8,,,,,,
G31845,Niederösterreich,Willendorf,768,578,14,564,159,130,128,18,65,44,13,4,3,,,,,,
G31846,Niederösterreich,Wimpassing im Schwarzatale,1268,902,20,882,462,84,202,10,66,29,14,14,1,,,,,,
G31847,Niederösterreich,Würflach,1294,1008,19,989,324,286,179,24,68,57,36,8,7,,,,,,
G31848,Niederösterreich,Zöbern,1180,939,19,920,152,453,140,57,45,45,16,3,9,,,,,,
G31849,Niederösterreich,Höflein an der Hohen Wand,759,584,6,578,221,99,122,18,61,27,24,2,4,,,,,,
G31901,Niederösterreich,Altlengbach,2233,1575,37,1538,404,394,351,60,119,108,70,16,16,,,,,,
G31902,Niederösterreich,Asperhofen,1678,1192,30,1162,185,429,285,35,94,76,43,5,10,,,,,,
G31903,Niederösterreich,Böheimkirchen,3923,2964,78,2886,803,869,524,83,303,147,110,16,31,,,,,,
G31904,Niederösterreich,Brand-Laaben,980,707,15,692,126,242,149,22,63,37,37,6,10,,,,,,
G31905,Niederösterreich,Eichgraben,3386,2393,54,2339,552,507,428,77,383,133,208,26,25,,,,,,
G31906,Niederösterreich,Frankenfels,1652,1336,54,1282,324,601,206,27,62,25,23,6,8,,,,,,
G31907,Niederösterreich,Gerersdorf,730,564,14,550,116,273,66,12,47,23,13,0,0,,,,,,
G31909,Niederösterreich,Hofstetten-Grünau,2110,1676,51,1625,340,712,279,25,128,72,50,9,10,,,,,,
G31910,Niederösterreich,Hafnerbach,1311,1037,19,1018,229,423,163,23,108,35,27,7,3,,,,,,
G31911,Niederösterreich,Haunoldstein,847,668,19,649,174,217,141,8,49,27,22,7,4,,,,,,
G31912,Niederösterreich,Herzogenburg,6051,4570,100,4470,1792,899,897,89,392,186,153,37,25,,,,,,
G31913,Niederösterreich,Inzersdorf-Getzersdorf,1203,960,15,945,252,289,218,26,73,49,28,6,4,,,,,,
G31915,Niederösterreich,Kapelln,1117,863,17,846,137,352,175,34,54,39,40,11,4,,,,,,
G31916,Niederösterreich,Karlstetten,1691,1313,31,1282,335,406,259,27,126,47,57,18,7,,,,,,
G31917,Niederösterreich,Kasten bei Böheimkirchen,1067,831,20,811,151,261,158,27,97,51,49,5,12,,,,,,
G31918,Niederösterreich,Kirchberg an der Pielach,2582,1999,58,1941,416,729,371,51,181,110,60,16,7,,,,,,
G31919,Niederösterreich,Kirchstetten,1674,1157,28,1129,284,348,208,37,114,63,54,13,8,,,,,,
G31920,Niederösterreich,Loich,495,374,8,366,103,157,49,10,17,22,4,1,3,,,,,,
G31921,Niederösterreich,Maria-Anzbach,2241,1600,34,1566,347,445,279,56,243,76,89,19,12,,,,,,
G31922,Niederösterreich,Markersdorf-Haindorf,1635,1228,15,1213,288,480,238,12,117,36,30,9,3,,,,,,
G31923,Niederösterreich,Michelbach,736,574,21,553,49,255,107,11,42,31,48,5,5,,,,,,
G31925,Niederösterreich,Neidling,1231,963,23,940,241,290,165,30,106,49,33,15,11,,,,,,
G31926,Niederösterreich,Neulengbach,6182,4244,78,4166,936,1149,797,134,526,236,312,41,35,,,,,,
G31927,Niederösterreich,Neustift-Innermanzing,1194,821,14,807,187,231,175,27,74,39,55,10,9,,,,,,
G31928,Niederösterreich,Nußdorf ob der Traisen,1420,1161,35,1126,314,382,221,29,80,56,31,6,7,,,,,,
G31929,Niederösterreich,Ober-Grafendorf,3654,2819,67,2752,992,685,493,66,239,106,132,18,21,,,,,,
G31930,Niederösterreich,Obritzberg-Rust,1824,1453,38,1415,295,589,232,41,97,78,63,14,6,,,,,,
G31932,Niederösterreich,Prinzersdorf,1269,990,23,967,286,300,146,34,120,22,40,5,14,,,,,,
G31934,Niederösterreich,Pyhra,2767,2073,44,2029,385,858,329,61,197,89,73,21,16,,,,,,
G31935,Niederösterreich,Rabenstein an der Pielach,2008,1581,49,1532,409,564,286,31,106,71,40,17,8,,,,,,
G31938,Niederösterreich,St. Margarethen an der Sierning,867,673,20,653,112,330,92,11,49,31,20,5,3,,,,,,
G31939,Niederösterreich,Schwarzenbach an der Pielach,327,270,8,262,65,124,45,5,3,13,6,0,1,,,,,,
G31940,Niederösterreich,Statzendorf,1079,864,16,848,315,227,149,24,60,35,24,7,7,,,,,,
G31941,Niederösterreich,Stössing,613,441,11,430,58,206,67,13,37,25,16,4,4,,,,,,
G31943,Niederösterreich,Traismauer,4526,3383,95,3288,1229,745,664,63,292,136,120,20,19,,,,,,
G31945,Niederösterreich,Weinburg,1087,892,18,874,373,194,160,25,48,43,22,2,7,,,,,,
G31946,Niederösterreich,Weißenkirchen an der Perschling,1069,812,21,791,103,358,162,20,50,61,28,5,4,,,,,,
G31947,Niederösterreich,Wilhelmsburg,5137,3684,85,3599,1291,755,780,93,342,164,107,34,33,,,,,,
G31948,Niederösterreich,Wölbling,1957,1495,39,1456,480,438,263,32,116,59,45,8,15,,,,,,
G32001,Niederösterreich,Gaming,2628,1896,54,1842,799,432,312,41,102,80,51,13,12,,,,,,
G32002,Niederösterreich,Göstling an der Ybbs,1713,1317,28,1289,372,503,198,37,76,62,27,8,6,,,,,,
G32003,Niederösterreich,Gresten,1606,1171,39,1132,326,361,174,41,125,46,39,10,10,,,,,,
G32004,Niederösterreich,Gresten-Land,1216,969,21,948,133,581,111,24,51,33,10,1,4,,,,,,
G32005,Niederösterreich,Lunz am See,1549,1168,22,1146,373,380,176,49,63,65,31,6,3,,,,,,
G32006,Niederösterreich,Oberndorf an der Melk,2405,1895,53,1842,202,1032,336,35,114,70,44,5,4,,,,,,
G32007,Niederösterreich,Puchenstuben,258,182,3,179,66,69,26,3,5,4,3,3,0,,,,,,
G32008,Niederösterreich,Purgstall an der Erlauf,4303,3172,90,3082,607,1260,575,88,284,158,79,18,13,,,,,,
G32009,Niederösterreich,Randegg,1554,1232,35,1197,157,672,171,19,90,43,30,4,11,,,,,,
G32010,Niederösterreich,Reinsberg,823,677,34,643,83,347,120,11,43,19,12,5,3,,,,,,
G32011,Niederösterreich,St. Anton an der Jeßnitz,1013,765,24,741,128,399,99,26,30,37,14,5,3,,,,,,
G32012,Niederösterreich,St. Georgen an der Leys,1099,859,40,819,91,453,184,24,31,20,4,5,7,,,,,,
G32013,Niederösterreich,Scheibbs,3507,2566,82,2484,621,906,324,72,330,99,96,18,18,,,,,,
G32014,Niederösterreich,Steinakirchen am Forst,1892,1482,41,1441,201,717,221,40,145,53,42,10,12,,,,,,
G32015,Niederösterreich,Wang,1050,845,25,820,127,409,161,18,48,29,19,3,6,,,,,,
G32016,Niederösterreich,Wieselburg,2937,2112,38,2074,771,426,414,66,233,73,65,6,20,,,,,,
G32017,Niederösterreich,Wieselburg-Land,2642,2034,52,1982,443,758,395,66,140,102,59,10,9,,,,,,
G32018,Niederösterreich,Wolfpassing,1186,948,8,940,115,473,161,36,96,32,24,2,1,,,,,,
G32101,Niederösterreich,Absdorf,1445,1098,32,1066,336,359,159,17,96,50,42,3,4,,,,,,
G32104,Niederösterreich,Atzenbrugg,2198,1649,50,1599,321,633,331,38,129,62,61,9,15,,,,,,
G32106,Niederösterreich,Fels am Wagram,1715,1282,28,1254,377,388,266,38,76,56,44,5,4,,,,,,
G32107,Niederösterreich,Grafenwörth,2504,1866,46,1820,543,588,354,44,116,85,68,10,12,,,,,,
G32109,Niederösterreich,Großriedenthal,810,647,18,629,142,309,94,14,27,21,18,4,0,,,,,,
G32110,Niederösterreich,Großweikersdorf,2522,1895,59,1836,463,612,423,42,150,79,51,6,10,,,,,,
G32112,Niederösterreich,Judenau-Baumgarten,1624,1256,24,1232,281,408,246,29,130,66,54,9,9,,,,,,
G32114,Niederösterreich,Kirchberg am Wagram,2800,2213,38,2175,567,775,370,62,199,89,88,15,10,,,,,,
G32115,Niederösterreich,Königsbrunn am Wagram,1066,813,22,791,249,279,120,21,44,39,31,5,3,,,,,,
G32116,Niederösterreich,Königstetten,1652,1219,27,1192,302,369,238,35,129,34,68,7,10,,,,,,
G32119,Niederösterreich,Langenrohr,1752,1363,28,1335,250,503,308,34,102,59,59,11,9,,,,,,
G32120,Niederösterreich,Michelhausen,2118,1556,45,1511,283,677,251,43,107,69,62,7,12,,,,,,
G32131,Niederösterreich,Sieghartskirchen,5611,4094,114,3980,921,1198,903,145,323,230,190,32,38,,,,,,
G32132,Niederösterreich,Sitzenberg-Reidling,1624,1289,36,1253,313,454,234,39,111,48,43,4,7,,,,,,
G32134,Niederösterreich,Tulbing,2359,1761,31,1730,412,566,316,68,173,68,97,17,13,,,,,,
G32135,Niederösterreich,Tulln an der Donau,11637,8194,184,8010,1932,2338,1450,243,1071,378,475,65,58,,,,,,
G32139,Niederösterreich,Würmla,1044,789,19,770,104,332,159,19,74,43,30,7,2,,,,,,
G32140,Niederösterreich,Zeiselmauer-Wolfpassing,1762,1261,22,1239,374,276,219,34,173,55,83,12,13,,,,,,
G32141,Niederösterreich,Zwentendorf an der Donau,3003,2220,43,2177,778,561,447,57,135,94,65,27,13,,,,,,
G32142,Niederösterreich,St. Andrä-Wördern,5886,4193,71,4122,1091,870,763,131,692,228,284,27,36,,,,,,
G32143,Niederösterreich,Muckendorf-Wipfing,1082,771,13,758,211,179,169,22,82,50,36,6,3,,,,,,
G32202,Niederösterreich,Dietmanns,967,659,20,639,270,93,187,7,24,35,14,6,3,,,,,,
G32203,Niederösterreich,Dobersberg,1405,1058,38,1020,142,541,190,21,51,43,24,4,4,,,,,,
G32206,Niederösterreich,Gastern,1079,791,22,769,177,336,135,10,31,60,12,6,2,,,,,,
G32207,Niederösterreich,Groß-Siegharts,2375,1607,36,1571,566,465,296,30,91,77,30,10,6,,,,,,
G32209,Niederösterreich,Karlstein an der Thaya,1278,938,34,904,186,401,171,23,49,48,20,3,3,,,,,,
G32210,Niederösterreich,Kautzen,1017,779,24,755,145,325,153,12,33,43,26,11,7,,,,,,
G32212,Niederösterreich,Ludweis-Aigen,819,579,22,557,112,303,69,5,36,13,10,2,7,,,,,,
G32214,Niederösterreich,Pfaffenschlag bei Waidhofen a.d.Thaya,789,602,17,585,89,272,146,10,29,22,15,2,0,,,,,,
