N1309,Bundesland,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,KPÖ,PIRAT,CPÖ,WANDL,M,EUAUS,SLP,Column
G10505,Burgenland,Minihof-Liebau,929,701,21,680,243,133,175,12,29,64,14,2,3,5,,,,,
G10506,Burgenland,Mogersdorf,948,725,20,705,302,160,137,9,51,34,8,3,1,0,,,,,
G10507,Burgenland,Neuhaus am Klausenbach,822,609,12,597,136,209,135,18,26,48,15,2,3,5,,,,,
G10508,Burgenland,Rudersdorf,1849,1355,26,1329,432,357,232,32,98,121,42,3,8,4,,,,,
G10509,Burgenland,Sankt Martin an der Raab,1704,1341,28,1313,434,344,254,40,98,99,21,11,7,5,,,,,
G10510,Burgenland,Weichselbaum,632,489,20,469,135,168,89,4,24,40,4,2,2,1,,,,,
G10511,Burgenland,Königsdorf,612,464,5,459,137,135,103,6,21,50,3,2,1,1,,,,,
G10512,Burgenland,Mühlgraben,348,278,7,271,126,37,66,6,12,17,6,1,0,0,,,,,
G10601,Burgenland,Draßburg,919,693,15,678,419,77,88,12,40,25,9,3,4,1,,,,,
G10602,Burgenland,Forchtenstein,2256,1785,31,1754,662,433,368,39,88,98,43,6,8,9,,,,,
G10603,Burgenland,Hirm,741,593,15,578,340,65,83,9,42,21,10,5,3,0,,,,,
G10604,Burgenland,Loipersbach im Burgenland,985,761,15,746,355,117,166,14,41,27,13,6,6,1,,,,,
G10605,Burgenland,Marz,1625,1259,31,1228,456,316,237,23,99,65,25,5,0,2,,,,,
G10606,Burgenland,Mattersburg,5517,3955,88,3867,1435,785,730,91,347,260,157,28,28,6,,,,,
G10607,Burgenland,Neudörfl,3278,2400,40,2360,1018,326,521,81,143,130,107,11,11,12,,,,,
G10608,Burgenland,Pöttelsdorf,593,450,11,439,150,131,61,9,42,30,13,2,0,1,,,,,
G10609,Burgenland,Pöttsching,2322,1766,24,1742,672,313,294,32,151,166,81,13,17,3,,,,,
G10610,Burgenland,Rohrbach bei Mattersburg,2164,1664,63,1601,757,355,268,25,86,69,28,4,8,1,,,,,
G10611,Burgenland,Bad Sauerbrunn,1675,1198,26,1172,353,206,249,49,168,62,69,8,5,3,,,,,
G10612,Burgenland,Schattendorf,1991,1552,34,1518,928,206,194,12,87,58,24,2,6,1,,,,,
G10613,Burgenland,Sieggraben,1048,853,19,834,306,290,145,16,16,45,13,1,1,1,,,,,
G10614,Burgenland,Sigleß,953,771,19,752,340,127,125,23,57,47,24,4,4,1,,,,,
G10615,Burgenland,Wiesen,2287,1784,37,1747,417,517,444,49,108,128,60,8,8,8,,,,,
G10616,Burgenland,Antau,607,521,11,510,156,171,110,11,27,21,8,1,4,1,,,,,
G10617,Burgenland,Baumgarten,718,545,5,540,296,104,54,9,42,15,17,1,0,2,,,,,
G10618,Burgenland,Zemendorf-Stöttera,1002,799,17,782,300,299,73,10,31,39,22,2,6,0,,,,,
G10619,Burgenland,Krensdorf,485,391,3,388,136,124,73,8,19,15,9,2,1,1,,,,,
G10701,Burgenland,Andau,2004,1643,36,1607,806,385,290,22,28,48,19,1,5,3,,,,,
G10702,Burgenland,Apetlon,1567,1234,33,1201,434,396,228,20,41,46,17,2,4,13,,,,,
G10703,Burgenland,Bruckneudorf,2264,1604,39,1565,558,141,443,44,187,91,79,15,7,0,,,,,
G10704,Burgenland,Deutsch Jahrndorf,469,364,7,357,122,97,98,4,13,14,6,2,1,0,,,,,
G10705,Burgenland,Frauenkirchen,2380,1828,53,1775,805,365,312,34,93,85,55,9,9,8,,,,,
G10706,Burgenland,Gattendorf,921,727,19,708,271,172,162,12,26,40,19,4,2,0,,,,,
G10707,Burgenland,Gols,3020,2338,70,2268,856,468,460,58,164,154,72,15,19,2,,,,,
G10708,Burgenland,Halbturn,1596,1268,31,1237,370,529,185,12,66,45,18,5,5,2,,,,,
G10709,Burgenland,Illmitz,2065,1668,39,1629,623,503,302,27,66,52,47,1,5,3,,,,,
G10710,Burgenland,Jois,1141,881,12,869,300,242,171,16,40,55,33,7,4,1,,,,,
G10711,Burgenland,Kittsee,1533,1144,30,1114,429,293,244,25,39,49,27,5,3,0,,,,,
G10712,Burgenland,Mönchhof,1885,1371,30,1341,392,489,263,12,72,63,30,7,9,4,,,,,
G10713,Burgenland,Neusiedl am See,5622,3990,85,3905,1051,1082,683,83,502,223,213,29,31,8,,,,,
G10714,Burgenland,Nickelsdorf,1284,1002,18,984,358,204,222,10,83,51,34,18,3,1,,,,,
G10715,Burgenland,Pama,854,689,10,679,278,257,97,8,16,11,7,2,2,1,,,,,
G10716,Burgenland,Pamhagen,1416,1069,27,1042,365,408,163,19,22,34,19,2,5,5,,,,,
G10717,Burgenland,Parndorf,3070,2042,44,1998,857,208,552,41,134,106,67,11,18,4,,,,,
G10718,Burgenland,Podersdorf am See,1718,1339,47,1292,315,499,205,34,69,94,54,9,8,5,,,,,
G10719,Burgenland,Sankt Andrä am Zicksee,1151,902,18,884,304,328,127,16,32,37,22,2,1,15,,,,,
G10720,Burgenland,Tadten,1068,875,11,864,351,319,108,4,26,29,22,1,4,0,,,,,
G10721,Burgenland,Wallern im Burgenland,1517,1200,24,1176,512,308,234,12,43,37,12,9,3,6,,,,,
G10722,Burgenland,Weiden am See,1868,1409,28,1381,395,370,297,34,139,75,59,8,4,0,,,,,
G10723,Burgenland,Winden am See,1069,814,26,788,391,128,134,15,42,41,19,6,11,1,,,,,
G10724,Burgenland,Zurndorf,1658,1285,36,1249,534,183,327,13,75,62,41,8,5,1,,,,,
G10725,Burgenland,Neudorf,586,473,12,461,160,175,70,10,16,20,5,5,0,0,,,,,
G10726,Burgenland,Potzneusiedl,437,337,1,336,125,68,102,4,12,14,9,1,1,0,,,,,
G10727,Burgenland,Edelstal,497,386,9,377,129,151,60,4,10,9,12,0,2,0,,,,,
G10801,Burgenland,Deutschkreutz,2630,1998,33,1965,747,626,310,32,80,126,29,6,8,1,,,,,
G10802,Burgenland,Draßmarkt,1162,965,21,944,327,372,107,13,65,34,18,5,3,0,,,,,
G10803,Burgenland,Frankenau-Unterpullendorf,997,744,11,733,250,301,63,14,43,45,14,1,1,1,,,,,
G10804,Burgenland,Großwarasdorf,1215,943,21,922,344,390,79,13,45,33,10,4,4,0,,,,,
G10805,Burgenland,Horitschon,1535,1255,26,1229,484,368,188,13,69,69,18,3,1,16,,,,,
G10806,Burgenland,Kaisersdorf,505,385,6,379,206,71,52,8,18,15,6,1,2,0,,,,,
G10807,Burgenland,Kobersdorf,1584,1295,34,1261,609,263,210,11,71,71,18,4,4,0,,,,,
G10808,Burgenland,Lackenbach,925,673,22,651,295,143,119,18,24,34,12,4,2,0,,,,,
G10809,Burgenland,Lockenhaus,1663,1231,34,1197,438,337,213,26,69,62,44,5,2,1,,,,,
G10810,Burgenland,Lutzmannsburg,728,575,15,560,199,176,110,11,22,33,4,1,2,2,,,,,
G10811,Burgenland,Mannersdorf an der Rabnitz,1536,1205,34,1171,501,297,230,12,56,47,15,6,7,0,,,,,
G10812,Burgenland,Markt Sankt Martin,973,807,24,783,303,231,103,12,52,57,9,2,10,4,,,,,
G10813,Burgenland,Neckenmarkt,1406,1166,24,1142,413,427,133,16,41,69,25,0,8,10,,,,,
G10814,Burgenland,Neutal,886,764,24,740,463,118,73,12,21,39,10,1,3,0,,,,,
G10815,Burgenland,Nikitsch,1244,921,20,901,357,358,61,8,37,48,24,4,2,2,,,,,
G10816,Burgenland,Oberpullendorf,2431,1680,46,1634,488,491,279,31,138,116,65,11,11,4,,,,,
G10817,Burgenland,Pilgersdorf,1398,1125,21,1104,312,507,133,11,42,67,18,3,7,4,,,,,
G10818,Burgenland,Piringsdorf,734,584,14,570,224,175,83,13,27,23,19,0,5,1,,,,,
G10819,Burgenland,Raiding,699,542,12,530,265,149,66,5,7,27,4,1,2,4,,,,,
G10820,Burgenland,Ritzing,744,612,11,601,289,127,88,9,42,26,9,5,5,1,,,,,
G10821,Burgenland,Steinberg-Dörfl,1083,853,19,834,283,254,121,26,47,60,32,6,4,1,,,,,
G10822,Burgenland,Stoob,1159,928,22,906,411,200,142,13,48,54,30,3,3,2,,,,,
G10823,Burgenland,Weppersdorf,1477,1184,26,1158,631,177,211,10,45,53,22,4,3,2,,,,,
G10824,Burgenland,Lackendorf,502,394,4,390,190,103,66,2,14,12,1,0,1,1,,,,,
G10825,Burgenland,Unterfrauenhaid,524,442,4,438,175,148,69,6,10,26,4,0,0,0,,,,,
G10826,Burgenland,Unterrabnitz-Schwendgraben,528,451,7,444,158,187,51,5,16,17,6,4,0,0,,,,,
G10827,Burgenland,Weingraben,310,264,5,259,130,77,25,5,6,7,5,1,0,3,,,,,
G10828,Burgenland,Oberloisdorf,674,542,14,528,222,174,71,6,24,20,7,2,2,0,,,,,
G10901,Burgenland,Bad Tatzmannsdorf,1146,865,10,855,243,251,155,21,64,70,43,2,4,2,,,,,
G10902,Burgenland,Bernstein,1847,1376,20,1356,649,310,233,24,48,54,30,3,2,3,,,,,
G10903,Burgenland,Deutsch Schützen-Eisenberg,986,771,5,766,155,344,150,20,25,48,17,4,0,3,,,,,
G10904,Burgenland,Grafenschachen,1066,819,37,782,381,176,137,17,25,34,10,1,1,0,,,,,
G10905,Burgenland,Großpetersdorf,2896,2084,39,2045,869,497,330,49,117,121,35,12,5,10,,,,,
G10906,Burgenland,Hannersdorf,659,513,5,508,212,154,71,6,22,30,12,1,0,0,,,,,
G10907,Burgenland,Kemeten,1255,904,19,885,379,104,236,24,47,74,13,2,6,0,,,,,
G10908,Burgenland,Kohfidisch,1213,952,21,931,348,298,174,5,30,53,14,5,2,2,,,,,
